"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2025 10:00:00 - 03/01/2025 10:15:00","BZN|BE","Without Sequence","145.19","",""
"03/01/2025 10:15:00 - 03/01/2025 10:30:00","BZN|BE","Without Sequence","145.19","",""
"03/01/2025 10:30:00 - 03/01/2025 10:45:00","BZN|BE","Without Sequence","145.19","",""
"03/01/2025 10:45:00 - 03/01/2025 11:00:00","BZN|BE","Without Sequence","145.19","",""
"03/01/2025 11:00:00 - 03/01/2025 11:15:00","BZN|BE","Without Sequence","101.44","",""
"03/01/2025 11:15:00 - 03/01/2025 11:30:00","BZN|BE","Without Sequence","101.44","",""
"03/01/2025 11:30:00 - 03/01/2025 11:45:00","BZN|BE","Without Sequence","101.44","",""
"03/01/2025 11:45:00 - 03/01/2025 12:00:00","BZN|BE","Without Sequence","101.44","",""
"03/01/2025 12:00:00 - 03/01/2025 12:15:00","BZN|BE","Without Sequence","95.63","",""
"03/01/2025 12:15:00 - 03/01/2025 12:30:00","BZN|BE","Without Sequence","95.63","",""
"03/01/2025 12:30:00 - 03/01/2025 12:45:00","BZN|BE","Without Sequence","95.63","",""
"03/01/2025 12:45:00 - 03/01/2025 13:00:00","BZN|BE","Without Sequence","95.63","",""
"03/01/2025 13:00:00 - 03/01/2025 13:15:00","BZN|BE","Without Sequence","97.72","",""
"03/01/2025 13:15:00 - 03/01/2025 13:30:00","BZN|BE","Without Sequence","97.72","",""
"03/01/2025 13:30:00 - 03/01/2025 13:45:00","BZN|BE","Without Sequence","97.72","",""
"03/01/2025 13:45:00 - 03/01/2025 14:00:00","BZN|BE","Without Sequence","97.72","",""
"03/01/2025 14:00:00 - 03/01/2025 14:15:00","BZN|BE","Without Sequence","101.95","",""
"03/01/2025 14:15:00 - 03/01/2025 14:30:00","BZN|BE","Without Sequence","101.95","",""
"03/01/2025 14:30:00 - 03/01/2025 14:45:00","BZN|BE","Without Sequence","101.95","",""
"03/01/2025 14:45:00 - 03/01/2025 15:00:00","BZN|BE","Without Sequence","101.95","",""
"03/01/2025 15:00:00 - 03/01/2025 15:15:00","BZN|BE","Without Sequence","119.96","",""
"03/01/2025 15:15:00 - 03/01/2025 15:30:00","BZN|BE","Without Sequence","119.96","",""
"03/01/2025 15:30:00 - 03/01/2025 15:45:00","BZN|BE","Without Sequence","119.96","",""
"03/01/2025 15:45:00 - 03/01/2025 16:00:00","BZN|BE","Without Sequence","119.96","",""
"03/01/2025 16:00:00 - 03/01/2025 16:15:00","BZN|BE","Without Sequence","133.32","",""
"03/01/2025 16:15:00 - 03/01/2025 16:30:00","BZN|BE","Without Sequence","133.32","",""
"03/01/2025 16:30:00 - 03/01/2025 16:45:00","BZN|BE","Without Sequence","133.32","",""
"03/01/2025 16:45:00 - 03/01/2025 17:00:00","BZN|BE","Without Sequence","133.32","",""
"03/01/2025 17:00:00 - 03/01/2025 17:15:00","BZN|BE","Without Sequence","158.28","",""
"03/01/2025 17:15:00 - 03/01/2025 17:30:00","BZN|BE","Without Sequence","158.28","",""
"03/01/2025 17:30:00 - 03/01/2025 17:45:00","BZN|BE","Without Sequence","158.28","",""
"03/01/2025 17:45:00 - 03/01/2025 18:00:00","BZN|BE","Without Sequence","158.28","",""
"03/01/2025 18:00:00 - 03/01/2025 18:15:00","BZN|BE","Without Sequence","166.95","",""
"03/01/2025 18:15:00 - 03/01/2025 18:30:00","BZN|BE","Without Sequence","166.95","",""
"03/01/2025 18:30:00 - 03/01/2025 18:45:00","BZN|BE","Without Sequence","166.95","",""
"03/01/2025 18:45:00 - 03/01/2025 19:00:00","BZN|BE","Without Sequence","166.95","",""
"03/01/2025 19:00:00 - 03/01/2025 19:15:00","BZN|BE","Without Sequence","161.94","",""
"03/01/2025 19:15:00 - 03/01/2025 19:30:00","BZN|BE","Without Sequence","161.94","",""
"03/01/2025 19:30:00 - 03/01/2025 19:45:00","BZN|BE","Without Sequence","161.94","",""
"03/01/2025 19:45:00 - 03/01/2025 20:00:00","BZN|BE","Without Sequence","161.94","",""
