simulation,timestamp_t0,model_used,scenario,branch,terminal_resolution_nuclear,terminal_resolution_ukraine,terminal_abnormal_return,max_drawdown,ret_step1_nuclear,ret_terminal_nuclear,ret_step1_ukraine,ret_terminal_ukraine,idio_path_std
4030,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-1.0029852284432907,-1.0046526147441164,14.285714285714256,-100.0,9.090909090909104,-100.0,41.43011099504086
4031,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.7268458562520628,-0.8284536277241619,-14.28571428571428,-100.0,-18.181818181818176,-100.0,37.38600067011675
4032,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-0.7596457460008874,-0.7623178748509796,14.285714285714256,-100.0,-18.181818181818176,-100.0,13.182794561993887
4033,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:down->0,0,0,-1.037743705541718,-1.0763521724956826,14.285714285714256,-100.0,-18.181818181818176,-100.0,54.683337065524995
4034,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.8258461354967308,-0.9219240223197317,14.285714285714256,-100.0,9.090909090909104,-100.0,69.20774651900066
4035,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:up->0 | U:up->1,0,1,-0.24865960163555745,-0.8515361432639199,14.285714285714256,-100.0,9.090909090909104,733.3333333333333,65.28632204395322
4036,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,9.006125344891933,0.0,14.285714285714256,-100.0,9.090909090909104,-100.0,172.6505096422469
4037,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:down->0,0,0,-0.9616766129595735,-0.6419693164543017,-14.28571428571428,-100.0,-18.181818181818176,-100.0,42.36651931735046
4038,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:down->0 | U:up->0,0,0,-0.18648670105236675,-0.6194592809425605,-14.28571428571428,-100.0,9.090909090909104,-100.0,39.90760098804917
4039,2025-09-25 00:00:00+00:00,VAR,N:0|U:1,N:down->0 | U:down->1,0,1,-0.5978177938562816,-0.8831356672157554,-14.28571428571428,-100.0,-18.181818181818176,1011.1111111111109,101.61025811550044
4040,2025-09-25 00:00:00+00:00,VAR,N:0|U:0,N:up->0 | U:up->0,0,0,-0.9541735378966153,-0.9595260777818934,14.285714285714256,-100.0,9.090909090909104,-100.0,32.872871450043675
